Round,Umpire,Home,Out
1,1,1,2
1,2,5,3
1,3,7,10
1,4,9,8
1,5,11,4
1,6,12,6
2,1,5,4
2,2,11,6
2,3,1,3
2,4,7,2
2,5,12,8
2,6,9,10
3,1,11,8
3,2,12,10
3,3,5,6
3,4,4,3
3,5,9,2
3,6,7,1
4,1,2,7
4,2,8,9
4,3,4,12
4,4,6,1
4,5,10,11
4,6,3,5
5,1,6,4
5,2,3,7
5,3,10,9
5,4,8,11
5,5,5,1
5,6,2,12
6,1,9,11
6,2,1,10
6,3,7,5
6,4,3,12
6,5,6,2
6,6,4,8
7,1,8,2
7,2,12,5
7,3,11,1
7,4,4,6
7,5,7,9
7,6,10,3
8,1,12,1
8,2,4,9
8,3,8,3
8,4,10,2
8,5,11,5
8,6,6,7
9,1,6,9
9,2,2,11
9,3,5,12
9,4,7,3
9,5,10,8
9,6,1,4
10,1,5,8
10,2,7,6
10,3,2,10
10,4,1,12
10,5,9,4
10,6,3,11
11,1,3,2
11,2,12,4
11,3,1,8
11,4,5,10
11,5,7,11
11,6,9,6
12,1,4,1
12,2,11,10
12,3,9,12
12,4,6,3
12,5,2,5
12,6,8,7
13,1,6,11
13,2,2,1
13,3,10,7
13,4,8,12
13,5,3,9
13,6,4,5
14,1,7,8
14,2,6,5
14,3,3,1
14,4,2,9
14,5,4,11
14,6,10,12
15,1,9,3
15,2,12,11
15,3,5,2
15,4,7,4
15,5,8,10
15,6,1,6
16,1,10,4
16,2,9,7
16,3,8,6
16,4,12,3
16,5,1,5
16,6,11,2
17,1,12,2
17,2,8,4
17,3,9,1
17,4,10,6
17,5,11,3
17,6,5,7
18,1,5,9
18,2,1,11
18,3,4,7
18,4,2,8
18,5,6,12
18,6,3,10
19,1,3,8
19,2,7,12
19,3,6,10
19,4,5,11
19,5,4,2
19,6,1,9
20,1,4,10
20,2,6,8
20,3,2,3
20,4,1,7
20,5,9,5
20,6,11,12
21,1,12,9
21,2,2,4
21,3,8,1
21,4,3,6
21,5,11,7
21,6,10,5
22,1,8,5
22,2,10,1
22,3,12,7
22,4,11,9
22,5,3,4
22,6,2,6
