Round,Umpire,Home,Out
1,1,1,2
1,2,5,3
1,3,7,10
1,4,9,8
1,5,11,4
1,6,12,6
2,1,5,4
2,2,11,6
2,3,1,3
2,4,7,2
2,5,12,8
2,6,9,10
3,1,11,8
3,2,12,10
3,3,5,6
3,4,4,3
3,5,9,2
3,6,7,1
4,1,2,7
4,2,8,9
4,3,4,12
4,4,6,1
4,5,10,11
4,6,3,5
5,1,6,4
5,2,3,7
5,3,8,11
5,4,10,9
5,5,5,1
5,6,2,12
6,1,9,11
6,2,1,10
6,3,7,5
6,4,3,12
6,5,6,2
6,6,4,8
7,1,12,5
7,2,4,6
7,3,10,3
7,4,8,2
7,5,7,9
7,6,11,1
8,1,10,2
8,2,11,5
8,3,12,1
8,4,4,9
8,5,8,3
8,6,6,7
9,1,1,4
9,2,10,8
9,3,6,9
9,4,7,3
9,5,2,11
9,6,5,12
10,1,7,6
10,2,9,4
10,3,3,11
10,4,5,8
10,5,1,12
10,6,2,10
11,1,3,2
11,2,7,11
11,3,5,10
11,4,12,4
11,5,9,6
11,6,1,8
12,1,4,1
12,2,2,5
12,3,8,7
12,4,6,3
12,5,11,10
12,6,9,12
13,1,6,11
13,2,3,9
13,3,2,1
13,4,10,7
13,5,8,12
13,6,4,5
14,1,10,12
14,2,4,11
14,3,6,5
14,4,2,9
14,5,3,1
14,6,7,8
15,1,7,4
15,2,8,10
15,3,9,3
15,4,1,6
15,5,5,2
15,6,12,11
16,1,8,6
16,2,1,5
16,3,11,2
16,4,12,3
16,5,9,7
16,6,10,4
17,1,12,2
17,2,11,3
17,3,5,7
17,4,8,4
17,5,10,6
17,6,9,1
18,1,4,7
18,2,6,12
18,3,3,10
18,4,5,9
18,5,1,11
18,6,2,8
19,1,3,8
19,2,4,2
19,3,1,9
19,4,6,10
19,5,7,12
19,6,5,11
20,1,11,12
20,2,9,5
20,3,6,8
20,4,2,3
20,5,4,10
20,6,1,7
21,1,10,5
21,2,8,1
21,3,2,4
21,4,11,7
21,5,3,6
21,6,12,9
22,1,2,6
22,2,3,4
22,3,12,7
22,4,10,1
22,5,11,9
22,6,8,5
