Round,Umpire,Home,Out
1,1,1,8
1,2,4,3
1,3,5,10
1,4,6,7
1,5,9,2
2,1,6,3
2,2,5,8
2,3,7,2
2,4,4,9
2,5,1,10
3,1,4,2
3,2,3,9
3,3,1,5
3,4,7,10
3,5,6,8
4,1,10,6
4,2,7,5
4,3,2,9
4,4,8,1
4,5,3,4
5,1,2,4
5,2,8,6
5,3,3,7
5,4,9,5
5,5,10,1
6,1,5,3
6,2,9,1
6,3,6,4
6,4,10,8
6,5,2,7
7,1,6,10
7,2,4,7
7,3,5,2
7,4,1,3
7,5,8,9
8,1,8,4
8,2,1,2
8,3,10,9
8,4,5,6
8,5,7,3
9,1,7,9
9,2,10,4
9,3,8,5
9,4,3,2
9,5,1,6
10,1,10,5
10,2,2,1
10,3,9,6
10,4,7,4
10,5,3,8
11,1,9,7
11,2,3,10
11,3,2,8
11,4,6,5
11,5,4,1
12,1,6,1
12,2,4,8
12,3,5,7
12,4,9,3
12,5,2,10
13,1,8,3
13,2,6,2
13,3,4,10
13,4,1,7
13,5,5,9
14,1,1,9
14,2,10,3
14,3,8,2
14,4,5,4
14,5,7,6
15,1,3,5
15,2,1,4
15,3,6,9
15,4,7,8
15,5,10,2
16,1,7,1
16,2,8,10
16,3,2,5
16,4,3,6
16,5,9,4
17,1,9,10
17,2,2,6
17,3,3,1
17,4,4,5
17,5,8,7
18,1,5,1
18,2,9,8
18,3,10,7
18,4,2,3
18,5,4,6
