[(1, 8), (4, 3), (5, 10), (6, 7), (9, 2)]
[(6, 3), (5, 8), (7, 2), (4, 9), (1, 10)]
[(4, 2), (7, 10), (6, 8), (1, 5), (3, 9)]
[(8, 1), (3, 4), (2, 9), (10, 6), (7, 5)]
[(2, 4), (9, 5), (8, 6), (3, 7), (10, 1)]
[(10, 8), (2, 7), (9, 1), (6, 4), (5, 3)]
[(1, 3), (8, 9), (4, 7), (5, 2), (6, 10)]
[(5, 6), (1, 2), (10, 9), (7, 3), (8, 4)]
[(7, 9), (10, 4), (1, 6), (8, 5), (3, 2)]
[(3, 8), (9, 6), (7, 4), (2, 1), (10, 5)]
[(4, 1), (3, 10), (6, 5), (9, 7), (2, 8)]
[(9, 3), (5, 7), (2, 10), (4, 8), (6, 1)]
[(1, 7), (6, 2), (8, 3), (5, 9), (4, 10)]
[(8, 2), (10, 3), (5, 4), (7, 6), (1, 9)]
[(6, 9), (1, 4), (7, 8), (3, 5), (10, 2)]
[(7, 1), (2, 5), (3, 6), (8, 10), (9, 4)]
[(4, 5), (8, 7), (9, 10), (2, 6), (3, 1)]
[(9, 8), (5, 1), (2, 3), (10, 7), (4, 6)]
